"","ds","TikTok","Facebook","Google_Ads","type","solID"
"132",2020-07-12,0,5496,1986.07,"rawMedia","5_86_3"
"133",2020-07-19,0,5771.41,2010.31,"rawMedia","5_86_3"
"134",2020-07-26,0,6029.44,2173.46,"rawMedia","5_86_3"
"135",2020-08-02,0,0,1830.34,"rawMedia","5_86_3"
"136",2020-08-09,11352.87,4575.68,1934.87,"rawMedia","5_86_3"
"137",2020-08-16,0,5862.6,0,"rawMedia","5_86_3"
"138",2020-08-23,9583.4,2344.38,2062.29,"rawMedia","5_86_3"
"139",2020-08-30,0,0,0,"rawMedia","5_86_3"
"140",2020-09-06,0,0,0,"rawMedia","5_86_3"
"141",2020-09-13,0,0,2194.51,"rawMedia","5_86_3"
"142",2020-09-20,0,0,0,"rawMedia","5_86_3"
"143",2020-09-27,0,3970.06,2081.28,"rawMedia","5_86_3"
"144",2020-10-04,11270.06,4650.06,1961.36,"rawMedia","5_86_3"
"145",2020-10-11,0,0,2151.15,"rawMedia","5_86_3"
"146",2020-10-18,11888.96,0,1892.17,"rawMedia","5_86_3"
"147",2020-10-25,8174.36,7696.22,0,"rawMedia","5_86_3"
"148",2020-11-01,0,4926.08,0,"rawMedia","5_86_3"
"149",2020-11-08,0,0,0,"rawMedia","5_86_3"
"150",2020-11-15,0,0,1769.21,"rawMedia","5_86_3"
"151",2020-11-22,0,3981.96,1930.41,"rawMedia","5_86_3"
"152",2020-11-29,0,0,0,"rawMedia","5_86_3"
"153",2020-12-06,0,5382.73,1793.47,"rawMedia","5_86_3"
"154",2020-12-13,0,0,1912.65,"rawMedia","5_86_3"
"155",2020-12-20,0,6096.35,0,"rawMedia","5_86_3"
"156",2020-12-27,0,0,1918.79,"rawMedia","5_86_3"
"157",2021-01-03,0,0,1892.95,"rawMedia","5_86_3"
"158",2021-01-10,0,0,2005.08,"rawMedia","5_86_3"
"159",2021-01-17,0,0,2230.84,"rawMedia","5_86_3"
"160",2021-01-24,0,0,2034.5,"rawMedia","5_86_3"
"161",2021-01-31,0,3820.84,2004.21,"rawMedia","5_86_3"
"162",2021-02-07,0,6301.43,2019.89,"rawMedia","5_86_3"
"163",2021-02-14,11898.84,5895.26,2045.48,"rawMedia","5_86_3"
"164",2021-02-21,10175.1,0,1796.65,"rawMedia","5_86_3"
"165",2021-02-28,0,3667.79,1977.04,"rawMedia","5_86_3"
"166",2021-03-07,0,3031.38,0,"rawMedia","5_86_3"
"167",2021-03-14,0,4339.94,1725.85,"rawMedia","5_86_3"
"168",2021-03-21,0,0,2173.13,"rawMedia","5_86_3"
"169",2021-03-28,12376.06,5498.69,2216.28,"rawMedia","5_86_3"
"170",2021-04-04,0,6047.97,1873.72,"rawMedia","5_86_3"
"171",2021-04-11,11841.72,0,1951.73,"rawMedia","5_86_3"
"172",2021-04-18,0,6742.67,1824.36,"rawMedia","5_86_3"
"173",2021-04-25,0,0,2139.88,"rawMedia","5_86_3"
"174",2021-05-02,0,0,1787.76,"rawMedia","5_86_3"
"175",2021-05-09,0,0,1955.5,"rawMedia","5_86_3"
"176",2021-05-16,0,4111.03,0,"rawMedia","5_86_3"
"177",2021-05-23,0,5242.12,2010.19,"rawMedia","5_86_3"
"178",2021-05-30,0,0,1641.15,"rawMedia","5_86_3"
"179",2021-06-06,0,5936.74,2265.29,"rawMedia","5_86_3"
"180",2021-06-13,0,6412.33,1807.08,"rawMedia","5_86_3"
"181",2021-06-20,9292.01,0,2011.98,"rawMedia","5_86_3"
"182",2021-06-27,0,0,1957.5,"rawMedia","5_86_3"
"183",2021-07-04,0,2760.4,1847.58,"rawMedia","5_86_3"
"184",2021-07-11,5553.19,0,1822.44,"rawMedia","5_86_3"
"185",2021-07-18,11250.46,0,2187.28,"rawMedia","5_86_3"
"186",2021-07-25,0,0,1894.87,"rawMedia","5_86_3"
"187",2021-08-01,0,3720.31,2054.23,"rawMedia","5_86_3"
"188",2021-08-08,0,4414.57,1839.7,"rawMedia","5_86_3"
"189",2021-08-15,8520.87,0,0,"rawMedia","5_86_3"
"190",2021-08-22,13086.03,0,2094.45,"rawMedia","5_86_3"
"191",2021-08-29,7414.29,0,2186.08,"rawMedia","5_86_3"
"192",2021-09-05,10534.1,0,1964.94,"rawMedia","5_86_3"
"193",2021-09-12,0,5213.48,1715.62,"rawMedia","5_86_3"
"194",2021-09-19,7663.81,0,2399.59,"rawMedia","5_86_3"
"195",2021-09-26,0,4757.98,0,"rawMedia","5_86_3"
"196",2021-10-03,0,0,1691.68,"rawMedia","5_86_3"
"197",2021-10-10,11543.58,4615.35,2518.88,"rawMedia","5_86_3"
"198",2021-10-17,0,4556.16,1919.19,"rawMedia","5_86_3"
"199",2021-10-24,0,0,1707.65,"rawMedia","5_86_3"
"200",2021-10-31,0,0,1863.31,"rawMedia","5_86_3"
"201",2018-01-07,13528.1,0,0,"rawSpend","5_86_3"
"202",2018-01-14,0,5349.65,2218.93,"rawSpend","5_86_3"
"203",2018-01-21,0,4235.86,2046.96,"rawSpend","5_86_3"
"204",2018-01-28,0,3562.21,0,"rawSpend","5_86_3"
"205",2018-02-04,0,0,2187.29,"rawSpend","5_86_3"
"206",2018-02-11,8045.44,4310.55,1992.98,"rawSpend","5_86_3"
"207",2018-02-18,0,0,2253.02,"rawSpend","5_86_3"
"208",2018-02-25,9697.29,4478.81,2042.3,"rawSpend","5_86_3"
"209",2018-03-04,0,3156.93,1859.02,"rawSpend","5_86_3"
"210",2018-03-11,0,4522.03,2135.99,"rawSpend","5_86_3"
"211",2018-03-18,0,4520.34,0,"rawSpend","5_86_3"
"212",2018-03-25,0,0,0,"rawSpend","5_86_3"
"213",2018-04-01,11522.08,5698.46,0,"rawSpend","5_86_3"
"214",2018-04-08,10243.35,0,0,"rawSpend","5_86_3"
"215",2018-04-15,0,0,1839.37,"rawSpend","5_86_3"
"216",2018-04-22,10667.35,0,1907.13,"rawSpend","5_86_3"
"217",2018-04-29,0,0,2204.36,"rawSpend","5_86_3"
"218",2018-05-06,9589.68,5160.93,1889.49,"rawSpend","5_86_3"
"219",2018-05-13,10626.14,0,1922.63,"rawSpend","5_86_3"
"220",2018-05-20,8291.81,4605.15,1897.94,"rawSpend","5_86_3"
"221",2018-05-27,0,0,2036.79,"rawSpend","5_86_3"
"222",2018-06-03,11307.24,0,1922.9,"rawSpend","5_86_3"
"223",2018-06-10,0,0,1679.63,"rawSpend","5_86_3"
"224",2018-06-17,8515.67,4006.88,0,"rawSpend","5_86_3"
"225",2018-06-24,0,0,0,"rawSpend","5_86_3"
"226",2018-07-01,0,0,0,"rawSpend","5_86_3"
"227",2018-07-08,0,5049.49,2162.53,"rawSpend","5_86_3"
"228",2018-07-15,0,0,2117.45,"rawSpend","5_86_3"
"229",2018-07-22,13065.56,5643.31,1898.93,"rawSpend","5_86_3"
"230",2018-07-29,0,3429.38,0,"rawSpend","5_86_3"
"231",2018-08-05,0,4793.1,1898.5,"rawSpend","5_86_3"
"232",2018-08-12,0,5880.18,0,"rawSpend","5_86_3"
"233",2018-08-19,0,0,2499.44,"rawSpend","5_86_3"
"234",2018-08-26,0,5387.28,0,"rawSpend","5_86_3"
"235",2018-09-02,9304.18,2744.44,0,"rawSpend","5_86_3"
"236",2018-09-09,0,3977.49,1743.09,"rawSpend","5_86_3"
"237",2018-09-16,0,0,1979.13,"rawSpend","5_86_3"
"238",2018-09-23,0,3343.28,1802.4,"rawSpend","5_86_3"
"239",2018-09-30,0,0,1764.47,"rawSpend","5_86_3"
"240",2018-10-07,9395.39,0,1771.96,"rawSpend","5_86_3"
"241",2018-10-14,7902.89,0,2351,"rawSpend","5_86_3"
"242",2018-10-21,7159.96,0,1973.4,"rawSpend","5_86_3"
"243",2018-10-28,6587.46,5567.29,0,"rawSpend","5_86_3"
"244",2018-11-04,13901.55,0,0,"rawSpend","5_86_3"
"245",2018-11-11,0,0,0,"rawSpend","5_86_3"
"246",2018-11-18,0,0,2144.01,"rawSpend","5_86_3"
"247",2018-11-25,0,4708.16,0,"rawSpend","5_86_3"
"248",2018-12-02,0,4238.51,2060.72,"rawSpend","5_86_3"
"249",2018-12-09,0,5857.92,2154.54,"rawSpend","5_86_3"
"250",2018-12-16,0,0,1667.68,"rawSpend","5_86_3"
"251",2018-12-23,8209.07,6466.58,2089.64,"rawSpend","5_86_3"
"252",2018-12-30,0,5852.55,2339.24,"rawSpend","5_86_3"
"253",2019-01-06,8978.39,4401.35,1997.03,"rawSpend","5_86_3"
"254",2019-01-13,0,0,2164.28,"rawSpend","5_86_3"
"255",2019-01-20,0,0,2134.11,"rawSpend","5_86_3"
"256",2019-01-27,0,0,1858.5,"rawSpend","5_86_3"
"257",2019-02-03,0,3231.46,2007.95,"rawSpend","5_86_3"
"258",2019-02-10,0,0,1686.6,"rawSpend","5_86_3"
"259",2019-02-17,0,0,1909.74,"rawSpend","5_86_3"
"260",2019-02-24,0,0,2053.14,"rawSpend","5_86_3"
"261",2019-03-03,8655.08,4814.95,2144.62,"rawSpend","5_86_3"
"262",2019-03-10,9280.89,4192.35,2004.92,"rawSpend","5_86_3"
"263",2019-03-17,0,0,2144,"rawSpend","5_86_3"
"264",2019-03-24,0,0,1779.42,"rawSpend","5_86_3"
"265",2019-03-31,0,4690.89,0,"rawSpend","5_86_3"
"266",2019-04-07,0,4766.53,2003.86,"rawSpend","5_86_3"
"267",2019-04-14,0,0,0,"rawSpend","5_86_3"
"268",2019-04-21,0,0,1957.17,"rawSpend","5_86_3"
"269",2019-04-28,0,0,1900.2,"rawSpend","5_86_3"
"270",2019-05-05,0,0,2004.27,"rawSpend","5_86_3"
"271",2019-05-12,0,0,0,"rawSpend","5_86_3"
"272",2019-05-19,0,0,2038.55,"rawSpend","5_86_3"
"273",2019-05-26,0,5929.51,1926.99,"rawSpend","5_86_3"
"274",2019-06-02,7530.35,0,1641.73,"rawSpend","5_86_3"
"275",2019-06-09,0,2905.4,1988.28,"rawSpend","5_86_3"
"276",2019-06-16,0,0,0,"rawSpend","5_86_3"
"277",2019-06-23,8258.41,4869.89,1673.52,"rawSpend","5_86_3"
"278",2019-06-30,8842.3,5093.95,1986.57,"rawSpend","5_86_3"
"279",2019-07-07,0,0,2297.87,"rawSpend","5_86_3"
"280",2019-07-14,0,0,2104.26,"rawSpend","5_86_3"
"281",2019-07-21,0,0,2122.39,"rawSpend","5_86_3"
"282",2019-07-28,0,0,0,"rawSpend","5_86_3"
"283",2019-08-04,0,0,2095.38,"rawSpend","5_86_3"
"284",2019-08-11,0,3583.09,2029.69,"rawSpend","5_86_3"
"285",2019-08-18,0,0,2105.81,"rawSpend","5_86_3"
"286",2019-08-25,0,0,2084.53,"rawSpend","5_86_3"
"287",2019-09-01,12357.56,4028.9,0,"rawSpend","5_86_3"
"288",2019-09-08,0,5314.82,0,"rawSpend","5_86_3"
"289",2019-09-15,0,5821.59,0,"rawSpend","5_86_3"
"290",2019-09-22,0,0,1989.98,"rawSpend","5_86_3"
"291",2019-09-29,0,5800.56,0,"rawSpend","5_86_3"
"292",2019-10-06,12444.89,5078.26,2262.49,"rawSpend","5_86_3"
"293",2019-10-13,0,0,1828.21,"rawSpend","5_86_3"
"294",2019-10-20,0,3840.58,1820.21,"rawSpend","5_86_3"
"295",2019-10-27,0,0,2014.92,"rawSpend","5_86_3"
"296",2019-11-03,0,5194.29,1784.58,"rawSpend","5_86_3"
"297",2019-11-10,0,0,1915.07,"rawSpend","5_86_3"
"298",2019-11-17,0,0,1834.01,"rawSpend","5_86_3"
"299",2019-11-24,0,0,2282.23,"rawSpend","5_86_3"
"300",2019-12-01,0,0,2157.16,"rawSpend","5_86_3"
"301",2019-12-08,0,4217.37,0,"rawSpend","5_86_3"
"302",2019-12-15,7304.48,4889.61,1921.76,"rawSpend","5_86_3"
"303",2019-12-22,0,0,2188.18,"rawSpend","5_86_3"
"304",2019-12-29,11938.79,0,2081.04,"rawSpend","5_86_3"
"305",2020-01-05,0,0,2099.61,"rawSpend","5_86_3"
"306",2020-01-12,0,0,1994.76,"rawSpend","5_86_3"
"307",2020-01-19,9172.76,0,1662.35,"rawSpend","5_86_3"
"308",2020-01-26,0,7021.04,0,"rawSpend","5_86_3"
"309",2020-02-02,13845.88,0,1893.5,"rawSpend","5_86_3"
"310",2020-02-09,0,2798.56,2129.01,"rawSpend","5_86_3"
"311",2020-02-16,13735.12,5199.3,2202.37,"rawSpend","5_86_3"
"312",2020-02-23,0,0,1868.41,"rawSpend","5_86_3"
"313",2020-03-01,0,4482.48,2093.68,"rawSpend","5_86_3"
"314",2020-03-08,0,0,0,"rawSpend","5_86_3"
"315",2020-03-15,9463.99,4560.81,0,"rawSpend","5_86_3"
"316",2020-03-22,0,5181.34,2336.38,"rawSpend","5_86_3"
"317",2020-03-29,0,4497.18,1829.48,"rawSpend","5_86_3"
"318",2020-04-05,0,0,0,"rawSpend","5_86_3"
"319",2020-04-12,11228.16,4039.5,1997.77,"rawSpend","5_86_3"
"320",2020-04-19,11844.41,0,2002.3,"rawSpend","5_86_3"
"321",2020-04-26,0,0,0,"rawSpend","5_86_3"
"322",2020-05-03,0,5251.48,1881.76,"rawSpend","5_86_3"
"323",2020-05-10,10596.48,0,0,"rawSpend","5_86_3"
"324",2020-05-17,0,0,2065.39,"rawSpend","5_86_3"
"325",2020-05-24,8610.86,0,2066.01,"rawSpend","5_86_3"
"326",2020-05-31,0,4290.27,2445.19,"rawSpend","5_86_3"
"327",2020-06-07,9129.69,0,2274.2,"rawSpend","5_86_3"
"328",2020-06-14,13698.53,5994.39,0,"rawSpend","5_86_3"
"329",2020-06-21,11344.59,6319.14,2064.97,"rawSpend","5_86_3"
"330",2020-06-28,0,0,2199.42,"rawSpend","5_86_3"
"331",2020-07-05,0,0,0,"rawSpend","5_86_3"
"332",2020-07-12,0,5496,1986.07,"rawSpend","5_86_3"
"333",2020-07-19,0,5771.41,2010.31,"rawSpend","5_86_3"
"334",2020-07-26,0,6029.44,2173.46,"rawSpend","5_86_3"
"335",2020-08-02,0,0,1830.34,"rawSpend","5_86_3"
"336",2020-08-09,11352.87,4575.68,1934.87,"rawSpend","5_86_3"
"337",2020-08-16,0,5862.6,0,"rawSpend","5_86_3"
"338",2020-08-23,9583.4,2344.38,2062.29,"rawSpend","5_86_3"
"339",2020-08-30,0,0,0,"rawSpend","5_86_3"
"340",2020-09-06,0,0,0,"rawSpend","5_86_3"
"341",2020-09-13,0,0,2194.51,"rawSpend","5_86_3"
"342",2020-09-20,0,0,0,"rawSpend","5_86_3"
"343",2020-09-27,0,3970.06,2081.28,"rawSpend","5_86_3"
"344",2020-10-04,11270.06,4650.06,1961.36,"rawSpend","5_86_3"
"345",2020-10-11,0,0,2151.15,"rawSpend","5_86_3"
"346",2020-10-18,11888.96,0,1892.17,"rawSpend","5_86_3"
"347",2020-10-25,8174.36,7696.22,0,"rawSpend","5_86_3"
"348",2020-11-01,0,4926.08,0,"rawSpend","5_86_3"
"349",2020-11-08,0,0,0,"rawSpend","5_86_3"
"350",2020-11-15,0,0,1769.21,"rawSpend","5_86_3"
"351",2020-11-22,0,3981.96,1930.41,"rawSpend","5_86_3"
"352",2020-11-29,0,0,0,"rawSpend","5_86_3"
"353",2020-12-06,0,5382.73,1793.47,"rawSpend","5_86_3"
"354",2020-12-13,0,0,1912.65,"rawSpend","5_86_3"
"355",2020-12-20,0,6096.35,0,"rawSpend","5_86_3"
"356",2020-12-27,0,0,1918.79,"rawSpend","5_86_3"
"357",2021-01-03,0,0,1892.95,"rawSpend","5_86_3"
"358",2021-01-10,0,0,2005.08,"rawSpend","5_86_3"
"359",2021-01-17,0,0,2230.84,"rawSpend","5_86_3"
"360",2021-01-24,0,0,2034.5,"rawSpend","5_86_3"
"361",2021-01-31,0,3820.84,2004.21,"rawSpend","5_86_3"
"362",2021-02-07,0,6301.43,2019.89,"rawSpend","5_86_3"
"363",2021-02-14,11898.84,5895.26,2045.48,"rawSpend","5_86_3"
"364",2021-02-21,10175.1,0,1796.65,"rawSpend","5_86_3"
"365",2021-02-28,0,3667.79,1977.04,"rawSpend","5_86_3"
"366",2021-03-07,0,3031.38,0,"rawSpend","5_86_3"
"367",2021-03-14,0,4339.94,1725.85,"rawSpend","5_86_3"
"368",2021-03-21,0,0,2173.13,"rawSpend","5_86_3"
"369",2021-03-28,12376.06,5498.69,2216.28,"rawSpend","5_86_3"
"370",2021-04-04,0,6047.97,1873.72,"rawSpend","5_86_3"
"371",2021-04-11,11841.72,0,1951.73,"rawSpend","5_86_3"
"372",2021-04-18,0,6742.67,1824.36,"rawSpend","5_86_3"
"373",2021-04-25,0,0,2139.88,"rawSpend","5_86_3"
"374",2021-05-02,0,0,1787.76,"rawSpend","5_86_3"
"375",2021-05-09,0,0,1955.5,"rawSpend","5_86_3"
"376",2021-05-16,0,4111.03,0,"rawSpend","5_86_3"
"377",2021-05-23,0,5242.12,2010.19,"rawSpend","5_86_3"
"378",2021-05-30,0,0,1641.15,"rawSpend","5_86_3"
"379",2021-06-06,0,5936.74,2265.29,"rawSpend","5_86_3"
"380",2021-06-13,0,6412.33,1807.08,"rawSpend","5_86_3"
"381",2021-06-20,9292.01,0,2011.98,"rawSpend","5_86_3"
"382",2021-06-27,0,0,1957.5,"rawSpend","5_86_3"
"383",2021-07-04,0,2760.4,1847.58,"rawSpend","5_86_3"
"384",2021-07-11,5553.19,0,1822.44,"rawSpend","5_86_3"
"385",2021-07-18,11250.46,0,2187.28,"rawSpend","5_86_3"
"386",2021-07-25,0,0,1894.87,"rawSpend","5_86_3"
"387",2021-08-01,0,3720.31,2054.23,"rawSpend","5_86_3"
"388",2021-08-08,0,4414.57,1839.7,"rawSpend","5_86_3"
"389",2021-08-15,8520.87,0,0,"rawSpend","5_86_3"
"390",2021-08-22,13086.03,0,2094.45,"rawSpend","5_86_3"
"391",2021-08-29,7414.29,0,2186.08,"rawSpend","5_86_3"
"392",2021-09-05,10534.1,0,1964.94,"rawSpend","5_86_3"
"393",2021-09-12,0,5213.48,1715.62,"rawSpend","5_86_3"
"394",2021-09-19,7663.81,0,2399.59,"rawSpend","5_86_3"
"395",2021-09-26,0,4757.98,0,"rawSpend","5_86_3"
"396",2021-10-03,0,0,1691.68,"rawSpend","5_86_3"
"397",2021-10-10,11543.58,4615.35,2518.88,"rawSpend","5_86_3"
"398",2021-10-17,0,4556.16,1919.19,"rawSpend","5_86_3"
"399",2021-10-24,0,0,1707.65,"rawSpend","5_86_3"
"400",2021-10-31,0,0,1863.31,"rawSpend","5_86_3"
"401",2018-01-07,13528.1,0,0,"predictedExposure","5_86_3"
"402",2018-01-14,0,5349.65,2218.93,"predictedExposure","5_86_3"
"403",2018-01-21,0,4235.86,2046.96,"predictedExposure","5_86_3"
"404",2018-01-28,0,3562.21,0,"predictedExposure","5_86_3"
